date,stock_id,ticker,open,high,low,close,volume,ma_5,ma_20,rsi_14,volatility_20d,trend,daily_return
2025-04-30,GOTO.JK,GOTO,85.0,87.0,83.0,85.0,5131656000,83.2,79.45,58.71,0.8367,bullish,0.0
2025-05-02,GOTO.JK,GOTO,85.0,86.0,82.0,82.0,2627450200,83.6,79.55,52.64,0.8464,bullish,-0.035294
2025-05-05,GOTO.JK,GOTO,83.0,84.0,81.0,83.0,4625567400,83.4,79.75,54.33,0.8456,bullish,0.012195
2025-05-06,GOTO.JK,GOTO,83.0,84.0,82.0,83.0,1579521600,83.6,79.75,54.33,0.8272,bullish,0.0
2025-05-07,GOTO.JK,GOTO,83.0,84.0,82.0,84.0,2030868500,83.4,79.8,56.16,0.8283,bullish,0.012048
2025-05-08,GOTO.JK,GOTO,85.0,87.0,81.0,81.0,8497274400,82.6,80.3,49.75,0.6072,bullish,-0.035714
2025-05-09,GOTO.JK,GOTO,82.0,83.0,80.0,81.0,3082520800,82.4,81.0,49.75,0.5584,bullish,0.0
2025-05-14,GOTO.JK,GOTO,81.0,83.0,78.0,79.0,6907580600,81.6,81.15,45.71,0.3637,bullish,-0.024691
2025-05-15,GOTO.JK,GOTO,79.0,79.0,71.0,73.0,13596210000,79.6,80.95,36.22,0.4603,bearish,-0.075949
2025-05-16,GOTO.JK,GOTO,74.0,76.0,72.0,73.0,6456256600,77.4,80.6,36.22,0.4345,bearish,0.0
2025-05-19,GOTO.JK,GOTO,73.0,73.0,70.0,71.0,6453126500,75.4,80.2,33.53,0.4415,bearish,-0.027397
2025-05-20,GOTO.JK,GOTO,71.0,73.0,70.0,72.0,5141754300,73.6,79.8,36.09,0.4423,bearish,0.014085
2025-05-21,GOTO.JK,GOTO,72.0,73.0,70.0,70.0,6245922300,71.8,79.3,33.33,0.4491,bearish,-0.027778
2025-05-22,GOTO.JK,GOTO,71.0,72.0,70.0,72.0,3954705700,71.6,78.95,38.4,0.465,bearish,0.028571
2025-05-23,GOTO.JK,GOTO,71.0,72.0,71.0,72.0,1138400000,71.4,78.6,38.4,0.465,bearish,0.0
2025-05-26,GOTO.JK,GOTO,72.0,72.0,64.0,68.0,14901151700,70.8,78.0,32.64,0.4956,bearish,-0.055556
2025-05-27,GOTO.JK,GOTO,68.0,68.0,64.0,66.0,9144531100,69.6,77.3,30.2,0.5004,bearish,-0.029412
2025-05-28,GOTO.JK,GOTO,67.0,67.0,62.0,64.0,10590370000,68.4,76.3,27.95,0.4549,bearish,-0.030303
2025-06-02,GOTO.JK,GOTO,66.0,66.0,61.0,62.0,6575164000,66.4,75.3,25.87,0.458,bearish,-0.03125
2025-06-03,GOTO.JK,GOTO,62.0,63.0,60.0,62.0,4777848900,64.4,74.15,25.87,0.4225,bearish,0.0
2025-06-04,GOTO.JK,GOTO,62.0,65.0,61.0,62.0,4930864400,63.2,73.0,25.87,0.4225,bearish,0.0
2025-06-05,GOTO.JK,GOTO,62.0,63.0,61.0,61.0,2076518800,62.2,71.95,24.73,0.4158,bearish,-0.016129
2025-06-10,GOTO.JK,GOTO,62.0,67.0,62.0,66.0,8602718000,62.6,71.1,39.23,0.5258,bearish,0.081967
2025-06-11,GOTO.JK,GOTO,66.0,68.0,65.0,68.0,5158880500,63.8,70.35,43.89,0.5447,bearish,0.030303
2025-06-12,GOTO.JK,GOTO,68.0,68.0,66.0,67.0,3337707200,64.8,69.5,42.15,0.5387,bearish,-0.014706
2025-06-13,GOTO.JK,GOTO,67.0,67.0,64.0,64.0,4201016500,65.2,68.65,37.37,0.5455,bearish,-0.044776
